"","game_id","season","week","season_type","start_date","start_time_tbd","completed","neutral_site","conference_game","attendance","venue_id","venue","home_id","home_team","home_division","home_conference","home_points","home_post_win_prob","home_pregame_elo","home_postgame_elo","away_id","away_team","away_division","away_conference","away_points","away_post_win_prob","away_pregame_elo","away_postgame_elo","excitement_index","highlights","notes"
"72",63158,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,87,"Notre Dame","fbs","FBS Independents",24,NA,1639,1653,158,"Nebraska","fbs","Big 12",27,NA,1963,1949,NA,"",NA
"73",63161,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,2459,"Northern Illinois","fbs","Mid-American",52,NA,NA,NA,2287,"Illinois State",NA,NA,0,NA,NA,NA,NA,"",NA
"74",63157,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,70,"Idaho","fbs","Big West",38,NA,NA,NA,149,"Montana",NA,NA,45,NA,NA,NA,NA,"",NA
"75",63151,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,97,"Louisville","fbs","Conference USA",52,NA,NA,NA,2755,"Grambling",NA,NA,0,NA,NA,NA,NA,"",NA
"76",63144,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,41,"UConn","fbs","FBS Independents",37,NA,NA,NA,2142,"Colgate",NA,NA,7,NA,NA,NA,NA,"",NA
"77",63143,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,36,"Colorado State","fbs","Mountain West",41,NA,NA,NA,2193,"East Tennessee State",NA,NA,7,NA,NA,NA,NA,"",NA
"78",63139,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,2116,"UCF","fbs","FBS Independents",19,NA,NA,NA,2466,"Northwestern State",NA,NA,7,NA,NA,NA,NA,"",NA
"79",63136,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,68,"Boise State","fbs","Big West",42,NA,NA,NA,2460,"Northern Iowa",NA,NA,17,NA,NA,NA,NA,"",NA
"80",63155,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,130,"Michigan","fbs","Big Ten",38,NA,1807,1846,242,"Rice","fbs","Western Athletic",7,NA,1425,1386,NA,"",NA
"81",63154,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,TRUE,NA,NA,NA,2199,"Eastern Michigan","fbs","Mid-American",17,NA,1323,1305,193,"Miami (OH)","fbs","Mid-American",34,NA,1552,1570,NA,"",NA
"82",63153,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,235,"Memphis","fbs","Conference USA",28,NA,1516,1547,2433,"UL Monroe","fbs","FBS Independents",0,NA,1140,1109,NA,"",NA
"83",63152,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,120,"Maryland","fbs","ACC",17,NA,1492,1491,218,"Temple","fbs","Big East",10,NA,1292,1293,NA,"",NA
"84",63149,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,96,"Kentucky","fbs","SEC",27,NA,1524,1557,58,"South Florida","fbs","FBS Independents",9,NA,1447,1414,NA,"",NA
"85",63146,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,TRUE,NA,NA,NA,59,"Georgia Tech","fbs","ACC",21,NA,1666,1677,52,"Florida State","fbs","ACC",26,NA,1957,1946,NA,"",NA
"86",63142,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,228,"Clemson","fbs","ACC",62,NA,1621,1747,142,"Missouri","fbs","Big 12",9,NA,1361,1235,NA,"",NA
"87",63141,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,2132,"Cincinnati","fbs","Conference USA",12,NA,1452,1456,183,"Syracuse","fbs","Big East",10,NA,1689,1685,NA,"",NA
"88",63181,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,2649,"Toledo","fbs","Mid-American",51,NA,NA,NA,2692,"Weber State",NA,NA,0,NA,NA,NA,NA,"",NA
"89",63188,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,275,"Wisconsin","fbs","Big Ten",27,NA,1849,1850,2483,"Oregon","fbs","Pac-10",23,NA,1769,1768,NA,"",NA
"90",63183,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,328,"Utah State","fbs","Big West",30,NA,NA,NA,253,"Southern Utah",NA,NA,14,NA,NA,NA,NA,"",NA
"91",63170,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,62,"Hawai'i","fbs","Western Athletic",20,NA,NA,NA,2502,"Portland State",NA,NA,45,NA,NA,NA,NA,"",NA
"92",63160,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,84,"Indiana","fbs","Big Ten",38,NA,1397,1395,152,"NC State","fbs","ACC",41,NA,1435,1437,NA,"",NA
"93",63138,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,25,"California","fbs","Pac-10",24,NA,1479,1482,254,"Utah","fbs","Mountain West",21,NA,1627,1624,NA,"",NA
"94",63140,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,TRUE,NA,NA,NA,2117,"Central Michigan","fbs","Mid-American",17,NA,1190,1223,2006,"Akron","fbs","Mid-American",7,NA,1400,1367,NA,"",NA
"95",63145,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,57,"Florida","fbs","SEC",55,NA,1717,1812,2393,"Middle Tennessee","fbs","FBS Independents",0,NA,1186,1091,NA,"",NA
"96",63147,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,21,"San Diego State","fbs","Mountain West",13,NA,1557,1470,356,"Illinois","fbs","Big Ten",49,NA,1695,1782,NA,"",NA
"97",63148,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,66,"Iowa State","fbs","Big 12",37,NA,1472,1482,2439,"UNLV","fbs","Mountain West",22,NA,1229,1219,NA,"",NA
"98",63150,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,99,"LSU","fbs","SEC",28,NA,1547,1573,248,"Houston","fbs","Conference USA",13,NA,1487,1461,NA,"",NA
"99",63156,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,127,"Michigan State","fbs","Big Ten",34,NA,1727,1750,276,"Marshall","fbs","Mid-American",24,NA,1806,1783,NA,"",NA
"100",63133,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,TRUE,NA,NA,NA,2005,"Air Force","fbs","Mountain West",31,NA,1595,1606,252,"BYU","fbs","Mountain West",23,NA,1572,1561,NA,"",NA
"101",63162,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,77,"Northwestern","fbs","Big Ten",38,NA,1385,1455,150,"Duke","fbs","ACC",5,NA,1221,1151,NA,"",NA
"102",63163,2000,3,"regular","2000-09-09T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,135,"Minnesota","fbs","Big Ten",17,NA,1705,1673,195,"Ohio","fbs","Mid-American",23,NA,1442,1474,NA,"",NA
